Id,Label
Addam_Marbrand,Addam Marbrand
Aegon_Frey_(son_of_Stevron),Aegon Frey (son of Stevron)
Aegon_I_Targaryen,Aegon I Targaryen
Aegon_Targaryen_(son_of_Rhaegar),Aegon Targaryen (son of Rhaegar)
Aegon_V_Targaryen,Aegon V Targaryen
Aemon_Targaryen_(Dragonknight),Aemon Targaryen (Dragonknight)
Aemon_Targaryen_(Maester_Aemon),Aemon Targaryen (Maester Aemon)
Aenys_Frey,Aenys Frey
Aeron_Greyjoy,Aeron Greyjoy
Aerys_I_Targaryen,Aerys I Targaryen
Aerys_II_Targaryen,Aerys II Targaryen
Aggar,Aggar
Aggo,Aggo
Alayaya,Alayaya
Albett,Albett
Alebelly,Alebelly
Alerie_Hightower,Alerie Hightower
Alester_Florent,Alester Florent
Alla_Tyrell,Alla Tyrell
Allar_Deem,Allar Deem
Allard_Seaworth,Allard Seaworth
Alleras,Alleras
Alliser_Thorne,Alliser Thorne
Alyn,Alyn
Alys_Arryn,Alys Arryn
Alys_Karstark,Alys Karstark
Alysane_Mormont,Alysane Mormont
Amabel,Amabel
Amerei_Frey,Amerei Frey
Amory_Lorch,Amory Lorch
Anders_Yronwood,Anders Yronwood
Andrew_Estermont,Andrew Estermont
Andrey_Dalt,Andrey Dalt
Anguy,Anguy
Anya_Waynwood,Anya Waynwood
Archibald_Yronwood,Archibald Yronwood
Ardrian_Celtigar,Ardrian Celtigar
Areo_Hotah,Areo Hotah
Arianne_Martell,Arianne Martell
Armen,Armen
Arnolf_Karstark,Arnolf Karstark
Aron_Santagar,Aron Santagar
Arron,Arron
Arson,Arson
Arstan,Arstan
Arthor_Karstark,Arthor Karstark
Arthur_Dayne,Arthur Dayne
Arwyn_Oakheart,Arwyn Oakheart
Arya_Stark,Arya Stark
Arys_Oakheart,Arys Oakheart
Asha_Greyjoy,Asha Greyjoy
Ashara_Dayne,Ashara Dayne
Aurane_Waters,Aurane Waters
Axell_Florent,Axell Florent
Azor_Ahai,Azor Ahai
Bael_the_Bard,Bael the Bard
Baelor_Blacktyde,Baelor Blacktyde
Baelor_I_Targaryen,Baelor I Targaryen
Ballabar,Ballabar
Balman_Byrch,Balman Byrch
Balon_Greyjoy,Balon Greyjoy
Balon_Swann,Balon Swann
Bannen,Bannen
Barbrey_Dustin,Barbrey Dustin
Barristan_Selmy,Barristan Selmy
Barsena,Barsena
Bartimus,Bartimus
Bedwyck,Bedwyck
Belaquo,Belaquo
Bellegere_Otherys,Bellegere Otherys
Belwas,Belwas
Ben_Bones,Ben Bones
Ben_Plumm,Ben Plumm
Benedar_Belmore,Benedar Belmore
Benerro,Benerro
Benethon_Scales,Benethon Scales
Benfred_Tallhart,Benfred Tallhart
Benjen_Stark,Benjen Stark
Beric_Dondarrion,Beric Dondarrion
Beth_Cassel,Beth Cassel
Big_Boil,Big Boil
Biter,Biter
Black_Balaq,Black Balaq
Blane,Blane
Bloodbeard,Bloodbeard
Blue_Bard,Blue Bard
Bonifer_Hasty,Bonifer Hasty
Boros_Blount,Boros Blount
Bowen_Marsh,Bowen Marsh
Bran_Stark,Bran Stark
Brandon_Norrey,Brandon Norrey
Brandon_Stark,Brandon Stark
Brea,Brea
Brella,Brella
Brenett,Brenett
Brienne_of_Tarth,Brienne of Tarth
Bronn,Bronn
Brus_Buckler,Brus Buckler
Brusco,Brusco
Bryce_Caron,Bryce Caron
Brynden_Rivers,Brynden Rivers
Brynden_Tully,Brynden Tully
Bump,Bump
Butterbumps,Butterbumps
Byam_Flint,Byam Flint
Caggo,Caggo
Caleotte,Caleotte
Camarron,Camarron
Captain_Myraham,Captain Myraham
Captain_Myraham_Daughter,Captain Myraham Daughter
Catelyn_Stark,Catelyn Stark
Cayn,Cayn
Cedra,Cedra
Cedric_Payne,Cedric Payne
Cellador,Cellador
Cersei_Lannister,Cersei Lannister
Chataya,Chataya
Chayle,Chayle
Chella,Chella
Chett,Chett
Chiggen,Chiggen
Chiswyck,Chiswyck
Clarence_Crabb,Clarence Crabb
Clayton_Suggs,Clayton Suggs
Clement_Piper,Clement Piper
Cleon,Cleon
Cleos_Frey,Cleos Frey
Cletus_Yronwood,Cletus Yronwood
Cley_Cerwyn,Cley Cerwyn
Clubfoot_Karl,Clubfoot Karl
Clydas,Clydas
Cohollo,Cohollo
Coldhands,Coldhands
Colemon,Colemon
Colen_of_Greenpools,Colen of Greenpools
Conn,Conn
Coratt,Coratt
Corliss_Penny,Corliss Penny
Cortnay_Penrose,Cortnay Penrose
Cotter_Pyke,Cotter Pyke
Craster,Craster
Creighton_Longbough,Creighton Longbough
Cressen,Cressen
Cromm,Cromm
Cutjack,Cutjack
Daario_Naharis,Daario Naharis
Dacey_Mormont,Dacey Mormont
Daemon_Sand,Daemon Sand
Daenerys_Targaryen,Daenerys Targaryen
Daeron_I_Targaryen,Daeron I Targaryen
Daeron_II_Targaryen,Daeron II Targaryen
Dagmer,Dagmer
Dalbridge,Dalbridge
Dalla,Dalla
Damon_Dance_for_Me,Damon Dance for Me
Dancy,Dancy
Danwell_Frey,Danwell Frey
Dareon,Dareon
Daryn_Hornwood,Daryn Hornwood
Daven_Lannister,Daven Lannister
Davos_Seaworth,Davos Seaworth
Denyo_Terys,Denyo Terys
Denys_Darklyn,Denys Darklyn
Denys_Mallister,Denys Mallister
Denzo_Dhan,Denzo Dhan
Desmond,Desmond
Desmond_Grell,Desmond Grell
Devan_Seaworth,Devan Seaworth
Dick_Crabb,Dick Crabb
Dick_Follard,Dick Follard
Dick_Straw,Dick Straw
Dirk,Dirk
Dobber,Dobber
Dolf,Dolf
Donal_Noye,Donal Noye
Donella_Hornwood,Donella Hornwood
Donnel_Waynwood,Donnel Waynwood
Dontos_Hollard,Dontos Hollard
Doran_Martell,Doran Martell
Dorcas,Dorcas
Doreah,Doreah
Draqaz,Draqaz
Drennan,Drennan
Drogo,Drogo
Dryn,Dryn
Dunsen,Dunsen
Dunstan_Drumm,Dunstan Drumm
Dywen,Dywen
Ebben,Ebben
Eddard_Stark,Eddard Stark
Eddison_Tollett,Eddison Tollett
Edmure_Tully,Edmure Tully
Edric_Storm,Edric Storm
Edwyn_Frey,Edwyn Frey
Elbert_Arryn,Elbert Arryn
Elder_Brother,Elder Brother
Eldon_Estermont,Eldon Estermont
Elia_Martell,Elia Martell
Elinor_Tyrell,Elinor Tyrell
Ellaria_Sand,Ellaria Sand
Elmar_Frey,Elmar Frey
Elys_Waynwood,Elys Waynwood
Emmett,Emmett
Emmon_Cuy,Emmon Cuy
Emmon_Frey,Emmon Frey
Emmond,Emmond
Emrick,Emrick
Eon_Hunter,Eon Hunter
Eroeh,Eroeh
Errok,Errok
Euron_Greyjoy,Euron Greyjoy
Eustace_Brune,Eustace Brune
Ezzara,Ezzara
Falyse_Stokeworth,Falyse Stokeworth
Farlen,Farlen
Florian_the_Fool,Florian the Fool
Fogo,Fogo
Forley_Prester,Forley Prester
Franklyn_Flowers,Franklyn Flowers
Franklyn_Fowler,Franklyn Fowler
Frenken,Frenken
Frenya,Frenya
Fulk,Fulk
Galazza_Galare,Galazza Galare
Galbart_Glover,Galbart Glover
Galyeon_of_Cuy,Galyeon of Cuy
Gared,Gared
Garin_(orphan),Garin (orphan)
Gariss,Gariss
Garlan_Tyrell,Garlan Tyrell
Garrett_Paege,Garrett Paege
Garth_(Wolfs_Den),Garth (Wolfs Den)
Garth_Greyfeather,Garth Greyfeather
Garth_Tyrell,Garth Tyrell
Gawen_Westerling,Gawen Westerling
Gelmarr,Gelmarr
Gendel,Gendel
Gendry,Gendry
Genna_Lannister,Genna Lannister
Gerald_Gower,Gerald Gower
Gerold_Dayne,Gerold Dayne
Gerold_Grafton,Gerold Grafton
Gerold_Hightower,Gerold Hightower
Gerrick_Kingsblood,Gerrick Kingsblood
Gerris_Drinkwater,Gerris Drinkwater
Ghael,Ghael
Gilly,Gilly
Gilwood_Hunter,Gilwood Hunter
Godric_Borrell,Godric Borrell
Godry_Farring,Godry Farring
Goghor_the_Giant,Goghor the Giant
Gormon_Tyrell,Gormon Tyrell
Gormond_Goodbrother,Gormond Goodbrother
Gorne,Gorne
Gorold_Goodbrother,Gorold Goodbrother
Grazdan_mo_Eraz,Grazdan mo Eraz
Grazhar,Grazhar
Greenbeard,Greenbeard
Gregor_Clegane,Gregor Clegane
Grenn,Grenn
Gretchel,Gretchel
Grey_Worm,Grey Worm
